Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,100018-412,RuMe® Classic Medium Tote Navy,Navy,,25481,,,,,,,,,,,,,,,,,,,,
GEM,100019,RuMe® Classic Mini Tote,"The RuMe® Mini Tote is endlessly re-useable for all your shopping, errand-running, lunch-toting needs. It has been designed with double-bound seams that hold up to 50 lbs. A 4"" gusset lends a supportive structure to the tote. The sewn-in straps with hook and loop closure contain the tote when rolled so it stays small and easy to pack away when not in use. Machine washable. 19"" shoulder straps. Folded Dimensions: 4L 2H 1W.",,,,,100,299,11.09,P,300,599,9.51,Q,600,999,8.3,R,1000,2000,7.98,R
GEM,100019-026,RuMe® Classic Mini Tote Cool Grey,Cool Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,100019-412,RuMe® Classic Mini Tote Navy,Navy,,3380,,,,,,,,,,,,,,,,,,,,
GEM,100020,RuMe® Reveal Quart,The Reveal is water-resistant to keep spills inside the bag and machine washable for cleaning up afterward,,,,,150,299,5.53,P,300,599,4.75,Q,600,999,4.14,R,1000,2000,3.98,R
GEM,100020-001,RuMe® Reveal Quart Black,Black,,30122,,,,,,,,,,,,,,,,,,,,
GEM,100024,RuMe® GTO | Garment Travel Organizer,The traveler's dream - the RuMe Garment Travel Organizer (GTO) combines the ease of a folding garment bag and the convenience of multiple packing cubes into a single product,,,,,25,49,38.87,P,50,99,33.34,Q,100,299,29.1,R,300,600,27.98,R
GEM,100024-001,RuMe® GTO | Garment Travel Organizer Black,Black,,533,,,,,,,,,,,,,,,,,,,,
GEM,100024-080,RuMe® GTO | Garment Travel Organizer Heather Grey,Heather Grey,,2152,,,,,,,,,,,,,,,,,,,,
GEM,100024-412,RuMe® GTO | Garment Travel Organizer Navy,Navy,,721,,,,,,,,,,,,,,,,,,,,
GEM,100046,Vertex® Durango Weatherproof Modular Pouch,"Give out this Vertex (R) Durango weatherproof modular pouch and get more exposure for your brand! It's made of waterproof materials and has a rolltop opening to the main compartment with roll guide. Features include an exterior top buckle for secure closure that also doubles as a grab handle, Modular pouch includes dual clips to ensure secure attachment to mounting points on other Vertex (R) bags, and an adjustable, removable waist belt.",,,,,25,50,10.99,R
GEM,100046-001,Vertex® Durango Weatherproof Modular Pouch Black,Black,,792,,,,,,,,,,,,,,,,,,,,
GEM,100058,Mobile Office Computer Tote,"A tote for the modern office. Whether it’s storing your items in a locker, cubby or working in a coffee sho. This tote will keep you organized wherever your “office” is. Large main compartment with hook and loop fastener. Multiple front pockets for keeping all your office needs organized. Key fob. Side mesh pocket. Fully lined and padded interior to keep your electronics safe. Laptop compartment (sized to fit up to a 17” laptop). 25.5” shoulder straps.",,,,,30,49,23.59,P,50,99,20.23,Q,100,299,17.66,R,300,600,16.98,R
GEM,100058-001,Mobile Office Computer Tote Black,Black,,2406,,,,,,,,,,,,,,,,,,,,
GEM,100058-410,Mobile Office Computer Tote Navy,Navy,,724,,,,,,,,,,,,,,,,,,,,
GEM,100062,Midtown Slim Computer Portfolio,"A modern slim portfolio perfect for conferences, conventions or employee on-boarding. Zippered main compartment. Front slash pocket with an organization panel including a bright easy-to-find key fob. Top grab handle. Adjustable, removable shoulder strap (adjusts from 29.5” to 51”)",,,,,40,99,19.42,P,100,299,16.66,Q,300,499,14.54,R,500,1000,13.98,R
GEM,100062-001,Midtown Slim Computer Portfolio Black,Black,,3018,,,,,,,,,,,,,,,,,,,,
GEM,100063,Mobile Office Pencil Case,"A unique item to keep all your mobile office essentials organized on the go or at your “desk"". Zippered main compartment with fully lined interior. Front slash pocket to hold business cards or other small accessories. Pull tabs on each side to pull the top down into an easy to use supply cup. Structured bottom elevates case off the surface and keeps it stable. Side snap for case to clip onto a bag’s handle or a carabiner. This case also makes a great travel case for cords or make-up brushes!",,,,,65,99,12.48,P,100,299,10.7,Q,300,999,9.34,R,1000,2000,8.98,R
GEM,100063-001,Mobile Office Pencil Case Black,Black,,62,,,,,,,,,,,,,,,,,,,,
GEM,100063-410,Mobile Office Pencil Case Navy,Navy,,0,,,,,,,,,,,,,,,,,,,,
GEM,100064,Mobile Office Commuter Sleeve,A commuter sleeve designed to keep your mobile office up and running. Top flap with hook and loop fasteners. Easy access to interior compartments when flap is open. Interior front slash pocket perfect for storing papers or file folders. Side zippers unzip all the way to easily access all that is inside. Padded laptop compartment sized to fit up to a 15” laptop.,,,,,30,49,23.59,P,50,99,20.23,Q,100,299,17.66,R,300,600,16.98,R
GEM,100064-001,Mobile Office Commuter Sleeve Black,Black,,118,,,,,,,,,,,,,,,,,,,,
GEM,100064-060,Mobile Office Commuter Sleeve Granite Heather Grey,Granite Heather Grey,,8430,,,,,,,,,,,,,,,,,,,,
GEM,100064-410,Mobile Office Commuter Sleeve Navy,Navy,,1234,,,,,,,,,,,,,,,,,,,,
GEM,100065,Midway Mini Sling Bag,"Mini sling bag perfect size for events, outdoor activities, and travel. Lightweight, crossbody design. Zippered opening to main compartment. Adjustable shoulder strap",,,,,100,299,8.31,P,300,599,7.13,Q,600,999,6.22,R,1000,2000,5.98,R
GEM,100065-001,Midway Mini Sling Bag Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100065-100,Midway Mini Sling Bag White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,100066,Moto Mini Backpack,"Mini backpack is the perfect size for events, outdoor activities, and travel. Zippered opening to main compartment. Front zippered pocket. Adjustable shoulder straps. Top grab handle.",,,,,100,299,9.7,P,300,599,8.32,Q,600,999,7.26,R,1000,2000,6.98,R
GEM,100066-001,Moto Mini Backpack Black,Black,,13737,,,,,,,,,,,,,,,,,,,,
GEM,100066-100,Moto Mini Backpack White,White,,2639,,,,,,,,,,,,,,,,,,,,
GEM,100067,Astoria Backpack,"Simple, yet stylish for everyday use. Zippered opening to main compartment. Side mesh water bottle pocket. Front zippered pocket. Padded, adjustable shoulder straps. Top grab handle.",,,,,50,99,15.97,P,100,299,13.7,Q,300,999,11.96,R,1000,2000,11.5,R
GEM,100067-057,Astoria Backpack Quiet Grey,Quiet Grey,,2310,,,,,,,,,,,,,,,,,,,,
GEM,100067-060,Astoria Backpack Granite Heather Grey,Granite Heather Grey,,6899,,,,,,,,,,,,,,,,,,,,
GEM,100068,Rutledge Backpack,"Simple and sporty…all occasion. Center seam zippered opening to main compartment with buckle closure. Additional side zippered opening to main compartment for easy grab access. Bottom zippered pocket for additional storage. Padded, adjustable shoulder straps. Top grab handle.",,,,,50,99,16.65,P,100,299,14.28,Q,300,999,12.46,R,1000,2000,11.98,R
GEM,100068-001,Rutledge Backpack Black,Black,,23,,,,,,,,,,,,,,,,,,,,
GEM,100071,Maui Pacific Cooler Tote,"Carry this all purpose cooler tote everywhere, from the beach to the farmers market. Insulated main compartment with zippered closure. Expandable front pocket with bungee sides. Micro mesh front pockets for storing accessories while sifting out sand. Dual carry handles. PEVA heat-sealed lining. PVC free. Phthalate free. 36 can capacity",,,,,25,50,21.23,R
GEM,100071-001,Maui Pacific Cooler Tote Black,Black,,11268,,,,,,,,,,,,,,,,,,,,
GEM,100071-100,Maui Pacific Cooler Tote White,White,,3404,,,,,,,,,,,,,,,,,,,,
GEM,100072,Dumont XL Cooler,"Bring the fun with this oversized party cooler. Insulated, large main compartment with zippered closure. Front zippered pocket for additional storage. Metal bottle opener attached to cooler. Removable, adjustable shoulder strap. Carry handles with padded handle wrap. Side grab handles. PEVA heat-sealed lining. PVC free. Phthalate free. 38 can capacity.",,,,,25,49,48.59,P,50,99,41.67,Q,100,299,36.38,R,300,600,34.98,R
GEM,100072-001,Dumont XL Cooler Black,Black,,743,,,,,,,,,,,,,,,,,,,,
GEM,100073,Avery Large Cotton Zippered Pouch,"Large, oversized pouch for storage and organization while on-the-go. Top zippered closure secures contents. Customizable decorative tag adds an additional creative way to brand your bag. Decorative tag is made of cotton with a ball chain attachment.",,,,,150,300,3.99,R
GEM,100073-101,Avery Large Cotton Zippered Pouch Natural,Natural,,5779,,,,,,,,,,,,,,,,,,,,
GEM,100076,Dover Lunch Cooler,Cinch style opening to the main compartment allows for easy access. Cinch closure includes toggle to secure contents when on-the-go. Dual carry handles. Front pocket. PEVA heat-sealed lining. PVC free. Phthalate free. 9 can capacity.,,,,,75,249,11.09,P,250,599,9.51,Q,600,999,8.3,R,1000,2000,7.98,R
GEM,100076-001,Dover Lunch Cooler Black,Black,,743,,,,,,,,,,,,,,,,,,,,
GEM,100076-430,Dover Lunch Cooler Royal Blue,Royal Blue,,4838,,,,,,,,,,,,,,,,,,,,
GEM,100079,Triumph Tote,A fun and functional tote to carry around your tablet and all you need for any meeting or conference. Hook and loop tab closure. Front slash pocket. Elastic top side gussets provide more space when filled. Interior sports mesh pocket for up to a 12” tablet. 24” shoulder straps,,,,,50,100,8.45,R
GEM,100079-001,Triumph Tote Black,Black,,1778,,,,,,,,,,,,,,,,,,,,
GEM,100085,Moleskine® Business Backpack,"This backpack is designed store documents and devices needed to stay connected and inspired while on the move. External: Front compartment with organizational panel, trolley strap, hidden security zipper, outer zip pockets for small items, padded shoulder strap, comfortable rear panel, side pockets. Internal: pocket sized perfectly to fit a pocket-sized notebook, padded laptop pocket for up to a 15"" laptop, padded tablet pocket, and more. Packaged in a Moleskine branded black drawstring bag",,,,,6,24,53.73,T,25,49,50.68,T,50,99,48.27,T,100,200,46.41,T
GEM,100085-001,Moleskine® Business Backpack Black,Black,,754,,,,,,,,,,,,,,,,,,,,
GEM,100093,Logan Computer Backpack,"Modern, slim backpack with tote-style grab handles. Zippered main compartment with multi-function organizer, smartphone pocket (fits up to an iPhone 7Plus) and padded tablet pocket (fits up to a 13” tablet). Rear padded, zippered laptop compartment (fits up to a 17” laptop). Zippered side water bottle pocket for a slim, minimalistic look. Dual top carry handles with button closure handle wrap (button can be decorated with LogoDome).",,,,,25,49,44.43,P,50,99,38.1,Q,100,299,33.26,R,300,600,31.98,R
GEM,100093-060,Logan Computer Backpack Granite Heather Grey,Granite Heather Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,100094,Travis & Wells® Leather Zippered Pouch,Stay organized while you travel. Top zippered closure secures contents. Interior zippered pocket for additional organization. Comes packaged in a Travis & Wells™ two-piece gift box.,,,,,25,49,27.76,P,50,99,23.81,Q,100,299,20.78,R,300,600,19.98,R
GEM,100094-001,Travis & Wells® Leather Zippered Pouch Black,Black,,1747,,,,,,,,,,,,,,,,,,,,
GEM,100095,Samsonite Landry Computer Backpack,"Dual carrying options. Padded side grab handle allows for carrying like a business bag. Shoulder straps allow for wearing as a backpack. Front zippered pocket. Side water bottle pocket. Main compartment with dual zippered opening. Zippered mesh pocket and multifunction organizer. Rear padded, zippered laptop compartment (fits up to a 17” laptop). SmartSleeve™ slides over upright handles for easy mobility. Top grab handle for easy carry. Fully padded, adjustable shoulder straps.",,,,,12,24,82.74,P,25,49,70.96,Q,50,99,57.18,S,100,200,54.98,S
GEM,100095-001,Samsonite Landry Computer Backpack Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100103,Igloo® Legacy Lunch Companion Cooler,Dual zippered opening to main compartment. Front pocket with snap closure and back pocket for additional storage. Dual carry handles with handle wrap. Adjustable shoulder strap. PEVA heat-sealed lining. PVC free. Phthalate free. 12 can capacity.,,,,,12,24,55.65,P,25,49,47.73,Q,50,99,38.46,S,100,200,36.98,S
GEM,100103-077,Igloo® Legacy Lunch Companion Cooler Vintage Black,Vintage Black,,550,,,,,,,,,,,,,,,,,,,,
GEM,100104,Igloo® Legacy Lunch Pack Cooler,"Zippered opening to main compartment. Multifunctional style allows you to carry as a backpack or tote. Dual side pockets for water bottles and other belongings. Front pocket with snap closure for additional storage. Dual carry handles with handle wrap. Padded, adjustable shoulder straps can be stored away in zippered back pocket.",,,,,8,16,44.98,S
GEM,100104-077,Igloo® Legacy Lunch Pack Cooler Vintage Black,Vintage Black,,3694,,,,,,,,,,,,,,,,,,,,
GEM,100104-272,Igloo® Legacy Lunch Pack Cooler Vintage Khaki,Vintage Khaki,,3818,,,,,,,,,,,,,,,,,,,,
GEM,100105,Sandbar Insulated Party Pail,"This iconic sand pail inspired cooler will make you want to hit the beach!    Large insulated main compartment .   Removable cover turns into a disc and is secured with dual hook and loop fasteners    .Adjustable shoulder strap.    Large front pocket   . PEVA heat-sealed lining.    PVC free.    Phthalate free    .10 can capacity  . For proper lid closure, weight load of interior contents must be distributed evenly (not bottom heavy). Patent Pending",,,,,25,50,19.98,R
GEM,100105-340,Sandbar Insulated Party Pail Camo Classic,Camo Classic,,339,,,,,,,,,,,,,,,,,,,,
GEM,100116,Blake Computer Backpack,"Modern, slim backpack with tote style grab handles. Zippered main compartment includes padded laptop pocket (fits up to a 15” laptop) and pen loop organization. Side water bottle pocket. Trolley strap feature slides over luggage handle for easy transport. Dual top carry handles with button closure handle wrap (button can be decorated with LogoDome). Padded, adjustable shoulder straps with loop for hanging personal items.",,,,,25,50,18,R
GEM,100116-057,Blake Computer Backpack Quiet Grey,Quiet Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,100124,Samsonite Foldable Packing Cubes 4IN1,Set of three packing cubes plus small packing pouch keep you organized while traveling. Mesh ventilation provides breathable storage options for your clothes. Packing cubes nest together or pack into small pouch for easy storage. Large Cube: 14.5L 10H 4.25W. Small Cubes (2): 12L 8H 4.25W. Small Pouch: 8.25L 6.25H .25W.,,,,,12,24,64.68,P,25,49,55.47,Q,50,99,44.7,S,100,200,42.98,S
GEM,100124-037,Samsonite Foldable Packing Cubes 4IN1 Graphite,Graphite,,743,,,,,,,,,,,,,,,,,,,,
GEM,100129,Jetsetter Garment Folder Set,Set of two garment folders to keep you organized while traveling. Mesh ventilation provides breathable storage options for  clothes. Folding board included with interior folding guide for shirts and pants. Folds up neatly and secures with hook and loop closures. Top grab handles make it easy to grab and go. Front slip pocket.,,,,,30,60,10.19,R
GEM,100129-001,Jetsetter Garment Folder Set Black,Black,,2316,,,,,,,,,,,,,,,,,,,,
GEM,100132,Celeste Bamboo Ceramic Bottle - 10 Oz.,"Mixed ceramic and bamboo materials make for a stylish drink bottle. Screw top lid with wide mouth opening is ideal for adding ice cubes to your drink. Fits in most car cup holders for easy on-the-go use. Body is dishwasher safe (top rack), hand wash lid. One-piece natural gift box included. 10 oz. capacity. This product contains bamboo, which is a natural material. Color and pattern variances are to be expected. This product is hand painted. Pattern variances are to be expected.",,,,,30,49,24.98,P,50,99,21.42,Q,100,299,18.7,R,300,600,17.98,R
GEM,100132-464,Celeste Bamboo Ceramic Bottle - 10 Oz. Blue Watermark,Blue Watermark,,912,,,,,,,,,,,,,,,,,,,,
GEM,100136,Emery 2-in-1 Double Wall Stainless Bottle - 20 Oz.,"This 2-in-1 drink bottle easily converts from an everyday hydration bottle to an on-the-go tumbler. 18/8 stainless steel double wall insulation keeps beverages hot or cold. Bottle mode has screw top lid with nonslip grip and wide mouth opening ideal for adding ice cubes. Tumbler mode has flip top lid that clicks to secure when opened or closed. Lids are made from BPA-free Eastman Tritan™ copolyester. Dishwasher safe (top rack), hand wash recommended. One-piece natural gift box included.",,,,,25,49,41.65,P,50,99,35.72,Q,100,299,31.18,R,300,600,29.98,R
GEM,100136-006,Emery 2-in-1 Double Wall Stainless Bottle - 20 Oz. Matte Black,Matte Black,,217,,,,,,,,,,,,,,,,,,,,
GEM,100137,Osaka Bento Lunch Box,"Fashionable design meets a traditional bento box that lets you carry your meals in style. Made from BPA-free plastic materials. Complete utensil set includes fork, knife, and spoon that packs into box.  Two stackable compartments for separating and organizing meals and snacks. Compartment lids have ventilation ports for microwaving food. Outer band helps keep your bento box packed together when on-the-go. Microwave safe, reheating time not more than 3 minutes. Dishwasher safe.",,,,,25,49,34.7,P,50,99,29.76,Q,100,299,25.98,R,300,600,24.98,R
GEM,100137-001,Osaka Bento Lunch Box Black,Black,,1672,,,,,,,,,,,,,,,,,,,,
GEM,100137-100,Osaka Bento Lunch Box White,White,,2974,,,,,,,,,,,,,,,,,,,,
GEM,100153,American Tourister® Embark Computer Backpack,"Constructed with a versatile design, this bag fits your daily commute, business travels and more. Features include a top layer made from 100% recycled material, a main compartment with drawstring opening, dual buckle closure to secure the lid, an interior padded laptop compartment (fits up to 17"" devices) with exterior zipper access, dual side pockets with key clip, and front webbing details for storage and Smartsleeve (TM) slides over the upright handles for easy mobility.",,,,,12,24,75.22,P,25,49,64.51,Q,50,99,51.98,S,100,200,49.98,S
GEM,100153-079,American Tourister® Embark Computer Backpack Gunite,Gunite,,2192,,,,,,,,,,,,,,,,,,,,
GEM,100154,American Tourister® Embark Cinchpack,"Travel with be a ""cinch"" when this cinchpack from American Tourister (R) goes along for the trip! Constructed of 600D polyester, each bag features a top layer of fabric made from 100% recycled material. It also has a drawstring cinch closure to the main compartment, a front pocket with flap closure for additional storage, a top grab handle and front webbing details allow for umbrella or jacket storage. A one color, one location print is included for brand recognition.",,,,,25,49,25.56,P,50,99,21.92,Q,100,299,17.66,S,300,600,16.98,S
GEM,100154-079,American Tourister® Embark Cinchpack Gunite,Gunite,,3608,,,,,,,,,,,,,,,,,,,,
GEM,100155,American Tourister® Embark Travel Organizer,"Travel can be hectic at times, so it's best if you're organized before you go! Constructed of 600D polyester, This travel organizer from American Tourister (R)  features a top layer of fabric made from 100% recycled material. It's ideal for organizing travel documents, credit cards, cords and other accessories. Other features include a zippered opening to the main compartment, front pocket with flap closure for additional storage and interior organization with foldout mesh zippered pouch.",,,,,30,49,22.55,P,50,99,19.34,Q,100,299,15.58,S,300,600,14.98,S
GEM,100155-079,American Tourister® Embark Travel Organizer Gunite,Gunite,,69,,,,,,,,,,,,,,,,,,,,
GEM,100156,American Tourister® Embark Utility Tote,"Are you searching for a handy bag for work or weekend activities? This utility bag is exactly what you need! Made of 600 denier polyester, each tote bag features a top layer or fabric that's made from 100% recycled material, a large main compartment, front pocket with flap closure for additional storage, dual ide pockets with drawstring closure for extra security and 25"" shoulder straps. Customizable is included to showcase a brand name or logo - perfect as an event giveaway or employee gift!",,,,,25,49,49.63,P,50,99,42.57,Q,100,299,34.3,S,300,600,32.98,S
GEM,100156-079,American Tourister® Embark Utility Tote Gunite,Gunite,,963,,,,,,,,,,,,,,,,,,,,
GEM,100159,"Samsonite Andante 2 22"" Wheeled Duffel","Durable casual duffel for easy travel. The large U-shaped opening makes for easy access to packed travel essentials. Lightweight design and smooth rolling wheels for effortless mobility. Multiple interior pockets offer areas to store writing instruments, a smartphone and other accessories. Comfortable top carry handles. Retractable handle locks in place in both the fully extended and stored positions for secure traveling. Side zippered compartment. Multiple grab handles for convenience.",,,,,8,24,105.31,P,25,49,90.32,Q,50,99,72.78,S,100,200,69.98,S
GEM,100159-001,"Samsonite Andante 2 22"" Wheeled Duffel Black",Black,,3554,,,,,,,,,,,,,,,,,,,,
GEM,100160,"Samsonite Andante 2 28"" Drop Bottom Wheeled Duffel","Durable drop bottom wheeled duffel for easy travel. The large U-shaped opening makes for easy access to packed travel essentials. Split bottom compartment for added packing convenience. Lightweight design and smooth rolling wheels for effortless mobility. Multiple interior pockets offer areas to store writing instruments, a smartphone and other accessories. Retractable handle locks in place in both the fully extended and stored positions for secure traveling.",,,,,6,24,173.03,P,25,49,148.39,Q,50,99,119.58,S,100,200,114.98,S
GEM,100160-084,"Samsonite Andante 2 28"" Drop Bottom Wheeled Duffel Riverrock-Black",Riverrock-Black,,726,,,,,,,,,,,,,,,,,,,,
GEM,100161,"Samsonite Andante 2 32"" Drop Bottom Wheeled Duffel","Durable drop bottom wheeled duffel for easy travel. The large U-shaped opening makes for easy access to packed travel essentials. Split bottom compartment for added packing convenience Lightweight design and smooth rolling wheels for effortless mobility. Multiple interior pockets offer areas to store writing instruments, a smartphone and other accessories. Comfortable top carry handles Retractable handle locks in place in both the fully extended and stored positions for secure traveling.",,,,,6,24,203.12,P,25,49,174.2,Q,50,99,140.38,S,100,200,134.98,S
GEM,100161-084,"Samsonite Andante 2 32"" Drop Bottom Wheeled Duffel Riverrock-Black",Riverrock-Black,,795,,,,,,,,,,,,,,,,,,,,
GEM,100171,Scout Shopper Tote,"Durable lightweight tote perfect for shopping trips, tradeshows, travel and more. Open main compartment. Large decoration area on the front and back. 25” shoulder straps.",,,,,150,300,3.8,R
GEM,100171-430,Scout Shopper Tote Royal Blue,Royal Blue,,4393,,,,,,,,,,,,,,,,,,,,
GEM,100175,Samsonite Executive Zippered Pouch,"A travel pouch for any stylish, modern executive to carry everyday essentials. Top zippered opening to main compartment. Fully lined interior with interior zippered pocket.",,,,,25,49,34.59,P,50,99,29.66,Q,100,299,23.9,S,300,600,22.98,S
GEM,100175-001,Samsonite Executive Zippered Pouch Black,Black,,1022,,,,,,,,,,,,,,,,,,,,
GEM,100176,Igloo® Seadrift™ Coast Cooler,"The Igloo Seadrift Cooler collection features MaxCold® insulation and a classic colorblock design. Dual zippered opening to large main compartment. Top hatch for easy access to contents of cooler. Comfortable, rubberized top handles secure together for easy carrying. Deep, gusseted front zippered pocket for additional storage. Dual side pockets for water bottles and other belongings. Removable, adjustable padded. Shoulder strap.",,,,,6,24,126.38,P,25,49,108.39,Q,50,99,87.34,S,100,200,83.98,S
GEM,100176-038,Igloo® Seadrift™ Coast Cooler White-Grey,White-Grey,,1822,,,,,,,,,,,,,,,,,,,,
GEM,100176-039,Igloo® Seadrift™ Coast Cooler Black-Grey,Black-Grey,,2366,,,,,,,,,,,,,,,,,,,,
GEM,100176-777,Igloo® Seadrift™ Coast Cooler Navy-White,Navy-White,,3700,,,,,,,,,,,,,,,,,,,,
GEM,100177,Igloo® Seadrift™ Switch Backpack Cooler,"Features MaxCold® insulation with 25% more foam to keep drinks and food cooler longer. Multifunctional carrying allows you to carry this cooler as a tote or backpack. Dual zippered opening to large main compartment. Easy-to-pack, doctor-style opening with side buckle closures. Deep, gusseted front zippered pocket for additional storage. Dual side pockets for water bottles and other belongings.",,,,,6,24,126.38,P,25,49,108.39,Q,50,99,87.34,S,100,200,83.98,S
